step,file,event,trigger,trigger_kind,stage,acc_before,acc_after,pos,neg,lat,correlated_detail
0,20260717_104018.txt,INIT,,,,,0,,,,
1,20260717_104052.txt,correction,wait_before_autocontinue_mealprep,?,?,0,0,0,0,0,
2,20260717_104130.txt,correction,wait_before_autocontinue_task_selection,categorical,Table prefs / feeding loop,0,0,0,0,0,
3,20260717_104204.txt,correction,outside_mouth_distance,categorical,Table prefs / feeding loop,0,0,0,0,1,robot_speed:medium->slow(LAT)
4,20260717_104246.txt,correction,robot_speed,categorical,Initial,0,0,0,0,0,
5,20260717_104324.txt,correction,wait_before_autocontinue_feeding_pickup,?,?,0,0,0,0,0,
6,20260717_104403.txt,correction,detect_user_completed_transfer_wiping,categorical,Table prefs / feeding loop,0,0,0,0,0,
7,20260717_104441.txt,correction,detect_user_ready_for_initiating_transfer_wiping,categorical,Table prefs / feeding loop,0,0,0,0,0,
8,20260717_104514.txt,correction,detect_user_completed_transfer_drinking,categorical,Table prefs / feeding loop,0,0,0,0,0,
9,20260717_104544.txt,correction,confirm_feeding_pickup,categorical,Table prefs / feeding loop,0,0,0,0,0,
10,20260717_104613.txt,correction,,,,0,0,0,0,0,
11,20260717_104649.txt,correction,wait_before_autocontinue_task_selection,categorical,Table prefs / feeding loop,0,0,0,0,0,
12,20260717_104727.txt,correction,detect_user_completed_transfer_drinking,categorical,Table prefs / feeding loop,0,0,0,0,0,
13,20260717_104816.txt,correction,convey_robot_ready_for_initiating_transfer,categorical,Table prefs / feeding loop,0,0,0,0,0,
14,20260717_104856.txt,correction,wait_before_autocontinue_mealprep,?,?,0,0,0,0,0,
15,20260717_104938.txt,correction,microwave_time,categorical,Microwave ask,0,0,0,0,0,
16,20260717_105022.txt,correction,detect_user_ready_for_initiating_transfer_wiping,categorical,Table prefs / feeding loop,0,0,0,0,0,
17,20260717_105058.txt,correction,detect_user_completed_transfer_feeding,categorical,Table prefs / feeding loop,0,0,0,0,0,
18,20260717_105120.txt,correction,,,,0,0,0,0,0,
19,20260717_105203.txt,correction,robot_speed,categorical,Initial,0,1,0,0,0,
20,20260717_105235.txt,correction,wait_before_autocontinue_mealprep,?,?,1,1,0,0,0,
21,20260717_111156.txt,correction,,,,1,0,0,0,0,
22,20260717_111234.txt,correction,wait_before_autocontinue_feeding_pickup,?,?,0,0,0,0,0,
23,20260717_111323.txt,correction,detect_user_completed_transfer_drinking,categorical,Table prefs / feeding loop,0,0,0,0,0,
24,20260717_111400.txt,correction,convey_robot_ready_for_initiating_transfer,categorical,Table prefs / feeding loop,0,0,0,0,0,
25,20260717_111435.txt,correction,retract_between_bites,categorical,Table prefs / feeding loop,0,0,0,0,0,
26,20260717_111525.txt,correction,,,,0,0,0,0,0,
27,20260717_111623.txt,correction,bite_ordering,text,Table prefs / feeding loop,0,0,0,0,0,
28,20260717_111719.txt,correction,bite_dipping_preference,categorical,Table prefs / feeding loop,0,0,0,0,0,
29,20260717_111807.txt,correction,convey_robot_ready_for_completing_transfer,categorical,Table prefs / feeding loop,0,0,0,0,0,
30,20260717_111859.txt,correction,wait_before_autocontinue_feeding_pickup,?,?,0,0,0,0,0,
31,20260717_111948.txt,correction,confirm_manipulation,categorical,Initial,0,0,0,0,0,
32,20260717_112042.txt,correction,wait_before_autocontinue_mealprep,?,?,0,0,0,0,0,
33,20260717_112130.txt,correction,confirm_navigation_arrival,categorical,Initial,0,0,0,0,0,
34,20260717_112214.txt,correction,robot_speed,categorical,Initial,0,1,0,0,0,
35,20260717_112246.txt,correction,,,,1,0,0,0,0,
36,20260717_112329.txt,correction,wait_before_autocontinue_mealprep,?,?,0,1,1,0,0,robot_speed:medium->fast(POS)
37,20260717_112408.txt,correction,bite_ordering,text,Table prefs / feeding loop,1,1,0,0,0,
38,20260717_112440.txt,correction,wait_before_autocontinue_feeding_pickup,?,?,1,1,0,0,0,
39,20260717_112508.txt,correction,,,,1,1,0,0,0,
40,20260717_112540.txt,correction,robot_speed,categorical,Initial,1,0,0,0,0,
41,20260717_112615.txt,correction,microwave_time,categorical,Microwave ask,0,0,0,0,0,
42,20260717_112646.txt,correction,bite_ordering,text,Table prefs / feeding loop,0,0,0,0,0,
43,20260717_112716.txt,correction,,,,0,0,0,0,0,
44,20260717_112747.txt,correction,bite_ordering,text,Table prefs / feeding loop,0,0,0,0,0,
45,20260717_112815.txt,correction,wait_before_autocontinue_feeding_pickup,?,?,0,0,0,0,0,
46,20260717_112845.txt,correction,wait_before_autocontinue_mealprep,?,?,0,0,0,0,0,
47,20260717_112915.txt,correction,,,,0,1,1,0,0,robot_speed:medium->fast(POS)
48,20260717_112951.txt,correction,robot_speed,categorical,Initial,1,0,0,0,0,
49,20260717_113035.txt,correction,wait_before_autocontinue_mealprep,?,?,0,0,0,0,0,
50,20260717_113137.txt,correction,wait_before_autocontinue_task_selection,categorical,Table prefs / feeding loop,0,0,0,0,0,
51,20260717_113216.txt,correction,confirm_navigation_arrival,categorical,Initial,0,0,0,0,0,
52,20260717_113258.txt,correction,,,,0,0,0,0,0,
53,20260717_113344.txt,correction,detect_user_completed_transfer_drinking,categorical,Table prefs / feeding loop,0,0,0,0,0,
54,20260717_113429.txt,correction,retract_between_bites,categorical,Table prefs / feeding loop,0,0,0,0,0,
55,20260717_113504.txt,correction,convey_robot_ready_for_completing_transfer,categorical,Table prefs / feeding loop,0,0,0,0,0,
56,20260717_133138.txt,correction,,,,0,0,0,0,0,
57,20260717_133222.txt,correction,bite_ordering,text,Table prefs / feeding loop,0,0,0,0,0,
58,20260717_133300.txt,correction,retract_between_bites,categorical,Table prefs / feeding loop,0,0,0,0,0,
59,20260717_133356.txt,correction,microwave_time,categorical,Microwave ask,0,0,0,0,0,
60,20260717_133427.txt,correction,wait_before_autocontinue_task_selection,categorical,Table prefs / feeding loop,0,0,0,0,0,
61,20260717_133459.txt,correction,wait_before_autocontinue_mealprep,?,?,0,0,0,0,0,
62,20260717_133533.txt,correction,convey_robot_ready_for_completing_transfer,categorical,Table prefs / feeding loop,0,0,0,0,0,
63,20260717_133608.txt,correction,detect_user_completed_transfer_drinking,categorical,Table prefs / feeding loop,0,0,0,0,0,
64,20260717_133635.txt,correction,,,,0,1,1,0,0,robot_speed:medium->fast(POS)
65,20260717_133701.txt,correction,,,,1,0,0,1,0,robot_speed:fast->medium(NEG)
66,20260717_133740.txt,correction,detect_user_completed_transfer_feeding,categorical,Table prefs / feeding loop,0,0,0,0,0,
67,20260717_133814.txt,correction,wait_before_autocontinue_mealprep,?,?,0,0,0,0,0,
68,20260717_133859.txt,correction,confirm_manipulation,categorical,Initial,0,0,0,0,0,
69,20260717_133937.txt,correction,confirm_navigation_arrival,categorical,Initial,0,0,0,0,0,
70,20260717_134020.txt,correction,confirm_feeding_pickup,categorical,Table prefs / feeding loop,0,0,0,0,0,
